№;Название журнала
1;Academia
2;Academia. Архитектура и строительство
3;American Theatre
4;Art and Times
5;Art chronika
6;Art-менеджер
7;Avant-scene. Theatre
8;Ballet Art
9;Burda
10;Dance Magazine
11;Dancing Times
12;Deutsche Buehne
13;Deutsche BЁhne
14;Elle
15;Foto & video = Фото и видео
16;Fuzz
17;Gala Биография
18;Imperial magazine
19;International Textiles
20;Kulturchronik
21;New Theatre Quarterly
22;Opera
23;Opera musicologica
24;Plays and Players
25;Premiere
26;Pro Scenium. Вопросы театра
27;Pro танец
28;Profashion
29;Rossica : литературные связи и контакты
30;S: Style. Show-room. Shoe-business
31;Seasons of life
32;Tatlin mono
33;Theater heute
34;Theatre in Poland
35;Theatre Notebook
36;Theatre Research International
37;Vogue
38;WAM
39;Авансцена
40;Аврора
41;Автограф
42;Академия русского балета имени А.Я. Вагановой. Вестник
43;Алла
44;Амадей
45;Антиквариат, предметы искусства и коллекционирования
46;Антикварное обозрение
47;Арион
48;Арт
49;АРТ ЛАД
50;Архитектура и строительство Москвы
51;Архитектура и строительство России
52;Архитектура. Строительство. Дизайн
53;Ателье Rundschau
54;Байкал
55;Балет
56;Балет. Ad libitum
57;Бежин луг
58;Библиография
59;Библиотека
60;Библиотечное дело
61;Большой
62;Большой театр
63;Бурда
64;Вестник ВГИК
65;Вестник Европы. XXI век
66;Вестник Кемеровского государственного университета культуры и искусств
67;Вестник Московского университета. Серия 7, Философия
68;Вестник Московского университета. Серия 8, История
69;Вестник Московского Университета. Серия 9, Филология
70;Вестник мэрии Москвы
71;Вестник Санкт-Петербургского государственного университета культуры и искусств
72;Вестник Санкт-Петербургского университета. Сер. 2. История. Языкознание. Литературоведение.
73;Волга
74;Вопросы искусствознания
75;Вопросы литературы
76;Вопросы театра. Proscaenium
77;Вопросы философии
78;Время культуры. Петербург
79;Вышгород
80;Грани
81;Гуманитарные и социально-экономические науки
82;Дальний Восток
83;Даугава
84;Декоративное искусство
85;Декоративное искусство / главный редактор А.Д. Сафарова
86;Декоративное искусство / главный редактор Айдер Куркчи
87;Декоративное искусство и предметно-пространственная среда: вестник МГХПА
88;Декоративное искусство стран СНГ
89;Детская литература
90;ДИ
91;ДИ. Диалог искусств
92;Дом Бурганова. Пространство культуры
93;Дом Бурганова. Пространство культуры 
94;Дон
95;Драматург
96;Дружба народов
97;Европа
98;Еженедельный журнал
99;Журнал любителей искусства
100;Журнал мод
101;Журналист
102;Закулисье
103;Замыслы
104;Звезда
105;Звезда Востока
106;Знамя
107;Знание - сила
108;Зодчество мира
109;Золотая палитра
110;Золото России
111;Известия Академии наук. Серия литературы и языка
112;Имидж. Престиж. Мода
113;Индийский вестник
114;Индустрия моды
115;Иностранная литература
116;Иные берега
117;Искусство
118;Искусство : учебно-методический журнал для учителей МХК, музыки и ИЗО
119;Искусство кино
120;Искусствознание
121;Историк и художник
122;История моды
123;История моды. Прил.: Мода сквозь века
124;История Петербурга
125;Итоги
126;Казань
127;КАК
128;Караван историй
129;Кино Парк
130;Киноведческие записки
131;Кинограф
132;КиноРепортер
133;Киносценарии
134;Кинофорум
135;Клуб
136;Кодры. Молдова литературная
137;Комментарии
138;Континент
139;Креатив&Creativity
140;Крокодил
141;Кукарт
142;Культпоход
143;Культура в современном мире: опыт, проблемы, решения
144;Культура и время
145;Культура и искусство
146;Культурно-просветительная работа: Встреча
147;Лавры кино
148;Латинская Америка
149;Лепта
150;Линия
151;Линия. Балет
152;Линия. Опера
153;Литературная учеба
154;Литературное обозрение
155;Личность. Культура. Общество
156;Мелодия
157;Мир детского театра
158;Мир музея
159;Мировое древо
160;МИТ-инфо
161;Мнемозина. Документы и факты из истории отечественного театра XX века
162;Мода. Имидж. Престиж
163;Модели сезона
164;Молодая гвардия
165;Москва
166;Московский вестник
167;Московский журнал
168;Московский наблюдатель
169;Московский стиль
170;Московское наследие
171;Музыкальная академия
172;Музыкальная жизнь
173;Музыкальный журнал
174;Музыкальный Олимп
175;Музыковедение
176;Мы
177;Народное творчество
178;Наука и жизнь
179;Наука о культуре: итоги и перспективы
180;Наш современник
181;Наш театр
182;Наше наследие
183;Нева
184;Невский театралъ
185;Неман
186;Новая Польша
187;Новая Россия
188;Новая Россия. Воскресенье
189;Новая юность
190;Новое время
191;Новое литературное обозрение
192;Новосибирский ОКОЛОтеатральный журнал
193;Новый вернисаж
194;Новый мир
195;Новый мир искусства
196;Ностальгия
197;Обозреватель
198;Обсерватория культуры
199;Огонек
200;Октябрь
201;Омск театральный
202;Опера +
203;Оперетта Land
204;Отечественная история
205;Отечество
206;Памятники Отечества
207;Панорама 1
208;Панорама 2
209;Панорама культурной жизни стран СНГ и Балтии
210;Персона
211;Петербургский театральный журнал
212;Петербургский художник
213;Пинакотека
214;Планета красота
215;Подъем
216;Полярная звезда
217;Посев
218;Праздник
219;Проблемы Дальнего Востока
220;Простор
221;Пульс
222;Радуга
223;Разгуляй
224;Рампа. Культура Башкортостана
225;Ренессанс
226;Реплика
227;Ровесник
228;Родина
229;Российская провинция
230;Россия
231;Русская Галерея
232;Русская галерея - XXI век
233;Русская литература
234;Русская провинция
235;Русская речь
236;Русский экран
237;Русское зарубежье
238;Русское искусство
239;Русь
240;Свой
241;Сеанс
242;Север
243;Сельская молодежь
244;Сибирские огни
245;Славяноведение
246;Слово
247;Смена
248;Собрание актов Президента и Правительства Российской Федерации
249;Собрание законодательства Российской Федерации
250;Собрание шедевров
251;Советский экран
252;Современная драматургия
253;Среди коллекционеров. Журнал для любителей искусства и старины
254;Станиславский
255;Старинная музыка
256;Стас
257;Столица
258;Странник
259;Страстной бульвар, 10
260;Страстной бульвар, 10 
261;Страстной бульвар, 10  
262;Студенческий меридиан
263;Сцена
264;Танец в Украине и в мире
265;ТВ Парк
266;Театр
267;Театр  
268;Театр чудес
269;Театр. Живопись. Кино. Музыка
270;Театрал
271;Театральная афиша
272;Театральная афиша столицы
273;Театральная жизнь
274;Театральная касса
275;Театральное дело: наука и практика
276;Театральный вестник
277;Театральный дневник
278;Театральный журнал
279;Театральный мир
280;Театральный Петербург
281;Театральный Петербург 
282;Театрон
283;Третьяковская галерея
284;Урал
285;Философские науки
286;Фотография
287;Художественная галерея
288;Художественный совет
289;Художник
290;Человек
291;Человек. Культура. Город
292;Чеховский вестник
293;Шаги/Steps
294;Экран
295;Этнографическое обозрение
296;Ювелирная Россия
297;Южная звезда
298;Южный театральный вестник
299;Юность
300;Юный художник
